Method,Endpoint,Description,Path Params,Query Params,Request Body Params,Success Status,Success Response
POST,/sessions,Create a new pipeline session.,(none),(none),"pipeline_name (string, required, 1-120 chars); config (object, optional, default: auto-picked OpenAI config if OPENAI_API_KEY is set else Ollama config, applied to all 7 agents -- see AgentModelConfig fields below); initial_requirements (object, optional, default {}) -- a requirements_patch applied immediately (source/sink/schema/joins/scale/validation/naming_style/notes/open_questions, all freeform). config.<agent> (planner/connect/ksqldb/evaluator/edge_case/executor/debug) each has: provider (""openai""|""ollama"", default ""ollama""), model (string), temperature (float 0-2, default 0.0), max_tokens (int >=128, default 4096). config.kafka_bootstrap_servers / config.connect_url / config.ksqldb_url (string, optional, default null).",201 Created,"SessionState: session_id (string), pipeline_name (string), config (SessionConfig), whiteboard (Whiteboard, all fields empty/defaulted), messages ([], empty), status (""requirements""), pending_approval (null), created_at, updated_at (ISO8601)."
GET,/sessions,"List sessions, most recently updated first.",(none),"limit (int, optional, default 50, 1-200)",(none),200 OK,"SessionList: { sessions: [SessionState, ...] }"
POST,/sessions/{session_id}/message,"Send a chat message to the Planner; runs the full Planner/Worker dispatch loop for this turn and returns once it lands on a user-facing stopping point (needs input, awaiting approval, or done).","session_id (string, required)",(none),"message (string, required, 1-20000 chars); artifact_id (string, optional, default null -- scopes this message to one proposed artifact via the Pipeline Graph ""revise this one"" flow).",200 OK,"SessionMessageResponse: { session: SessionState (updated), reply: string (Planner's reply_to_user for this turn), tasks: [] (reserved, currently always empty) }"
POST,/sessions/{session_id}/approve,"Approve or reject the whole pending phase of proposed artifacts (all artifacts sharing the current pending_approval phase).","session_id (string, required)",(none),"approved (bool, required); comment (string, optional, max 5000 chars, default null -- used as the revision request if rejected).",200 OK,"SessionMessageResponse (same shape as POST /message). Errors: 409 Conflict if no approval is currently pending."
POST,/sessions/{session_id}/deploy,"Build a deployment package for the committed pipeline, and optionally apply it live (POST connector configs / run ksqlDB statements against the configured environment).","session_id (string, required)",(none),"mode (string enum ""package""|""apply"", optional, default ""package"" -- ""package"" only builds the deployable bundle; ""apply"" also executes it against config.connect_url/ksqldb_url).",200 OK,"SessionState (updated whiteboard.deployment_status: state/package_path/records/error). Errors: 409 Conflict if session.status is not ""ready"" or ""deployed""."
GET,/sessions/{session_id},Fetch the full current state of a session.,"session_id (string, required)",(none),(none),200 OK,"SessionState (see POST /sessions). Errors: 404 Not Found if session_id doesn't exist."
GET,/sessions/{session_id}/whiteboard,"Fetch just the whiteboard portion of a session (requirements/plan/artifacts/evaluation/notes), without the rest of SessionState.","session_id (string, required)",(none),(none),200 OK,"Whiteboard: requirements, plan, topics, connectors, ksqldb_objects, artifacts ([Artifact]), evaluation, decisions, deployment_status, pipeline_notes (string), revision (int), updated_at."
GET,/sessions/{session_id}/pipeline-graph,"Fetch the Pipeline Graph view: nodes for every source/sink connector, topic, and ksqlDB stream/table, plus edges between them, with live Kafka Connect status merged onto connector nodes. Meant to be polled periodically (every ~30s) by the frontend so connector colors reflect live run state.","session_id (string, required)",(none),(none),200 OK,"PipelineGraph: { nodes: [PipelineGraphNode, ...], edges: [PipelineGraphEdge, ...] }. PipelineGraphNode: id (string, e.g. ""connector:orders-source"" / ""topic:orders.orders"" / ""ksql:ORDERS_STREAM""), name (string), type (""source_connector""|""sink_connector""|""topic""|""ksql_stream""|""ksql_table""), artifact_id (string|null), phase (connector: ""source""|""sink""; ksqlDB: ""raw""|""aggregate""|""join""; topic: null), status (""proposed""|""committed""|null for topics), statement (ksqlDB CREATE statement, null for non-ksqlDB nodes), connector_status (null for non-connector nodes; else {color: ""green""|""red""|""orange""|""grey"", state: raw Connect state or null, failed_tasks (int), total_tasks (int), detail (string|null, set when the live lookup itself failed or session isn't deployed yet)}). PipelineGraphEdge: { source: node id, target: node id }."
GET,/sessions/{session_id}/events,"Fetch the raw event/activity log for a session (session/user_message/agent_message/task/approval/deployment/error) -- used by the frontend to drive the pipeline graph and task history, not the chat box.","session_id (string, required)","after (datetime ISO8601, optional, default null -- only events strictly after this timestamp); limit (int, optional, default 100, 1-1000)",(none),200 OK,"EventList: { events: [SessionEvent, ...], next_cursor: datetime|null (created_at of the last returned event, for pagination) }"
GET,/sessions/{session_id}/chat-messages,"Fetch the human<->planner chat history for a session (never agent-to-agent traffic) -- what the chat box renders. Stored directly on the session document; auto-backfills once from the legacy events log for sessions created before this storage change, so old chat isn't lost.","session_id (string, required)","limit (int, optional, default 100, 1-1000)",(none),200 OK,"ChatMessageList: { messages: [ChatMessage, ...] } in chronological order. Each ChatMessage: message_id, session_id, role (""user""|""assistant""), content (string), starred (bool), metadata (object, e.g. {source, artifact_id, artifact_name}), created_at."
POST,/sessions/{session_id}/chat-messages,"Send a chat message via the Planner -- identical behavior to POST /message, offered as a chat-UI-friendly alias under the same path prefix as GET /chat-messages.","session_id (string, required)",(none),"message (string, required, 1-20000 chars); artifact_id (string, optional, default null).",200 OK,"SessionMessageResponse (same shape as POST /message)."
POST,/sessions/{session_id}/chat-messages/{message_id}/star,"Star or unstar a chat message, so it always stays in the Planner's context regardless of the last-10 window.","session_id (string, required); message_id (string, required)",(none),"starred (bool, optional, default true).",200 OK,"ChatMessage (the updated message). Errors: 404 Not Found if message_id doesn't exist in this session."
POST,/sessions/{session_id}/artifacts/{artifact_id}/approve,"Approve or reject exactly one proposed artifact, independent of the rest of its phase (used by the Pipeline Graph's per-node approve/reject).","session_id (string, required); artifact_id (string, required)",(none),"approved (bool, required); comment (string, optional, max 5000 chars, default null -- used as the revision request if rejected and it was the last artifact in the phase to resolve).",200 OK,"SessionMessageResponse (same shape as POST /message; reply may be empty if other artifacts in the same phase are still pending). Errors: 404 Not Found if artifact_id doesn't exist; 409 Conflict if the artifact isn't currently ""proposed""."
